"Date","FieldNotes","FlowAdjustment"
"Date Assessed Wednesday, 2021-07-28","Streamflow is 107.7 cfs. Wadable conditions. Temperature was 24.3 deg C. Recorded by EFA.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Wednesday, 2019-03-27","flow was 100 cfs. Wadable conditions. Temperature was 29 deg C. Recorded by MAB.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Tuesday, 2018-06-05","Streamflow is 135.8 MGD. Ambient Air Temperature was 28 deg C. Temperature was 28.4 deg C. Recorded by GVN.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2021-12-18","Stream flow at 164.5 MGD.  Temperature was 31.5 deg C. Recorded by LPX.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2019-06-26","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 30.7 deg C. Recorded by EHK.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Friday, 2019-07-19","Streamflow is 123.1 cfs. Wadable conditions. Temperature was 27.7 deg C. Recorded by NHL.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Sunday, 2021-10-24","Stream flow at 0.2 gpm.  Temperature was 22.9 deg C. Recorded by RTO.","Flow was scaled by constant factor of 1 to account for science"
"Date Assessed Thursday, 2017-04-06","flow was 96.3 cfs. Wadable conditions. Temperature was 28.5 deg C. Recorded by DXH.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Saturday, 2017-12-30","Streamflow is 91.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25 deg C. Recorded by TVS.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Monday, 2017-12-25","Stream flow at 134.1 MGD. Ambient Air Temperature was 28 deg C. Temperature was 26.9 deg C. Recorded by EVK.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Wednesday, 2020-12-30","Streamflow is 99.8 cfs. Ambient Air Temperature was 28 deg C. Temperature was 28.2 deg C. Recorded by EHL.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2018-04-30","Streamflow is 0.2 gpm. Ambient Air Temperature was 28 deg C. Temperature was 30.3 deg C. Recorded by LMJ.","Flow was scaled by constant factor of 0.2 to account for science"
"Date Assessed Thursday, 2021-05-06","Streamflow is 0.3 gpm.  Temperature was 29.2 deg C. Recorded by EJL.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Sunday, 2017-12-17","Streamflow is 0.2 gpm.  Temperature was 23.2 deg C. Recorded by MBK.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2019-08-14","Streamflow is 138.5 MGD.  Temperature was 25.6 deg C. Recorded by XAL.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Tuesday, 2022-02-01","flow was 0.2 gpm.  Temperature was 23.4 deg C. Recorded by VNR.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Friday, 2021-03-05","Streamflow is 0.2 gpm. Wadable conditions. Temperature was 28.7 deg C. Recorded by IAT.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Thursday, 2020-04-16","Stream flow at 132.2 MGD. Wadable conditions. Temperature was 26.9 deg C. Recorded by VED.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Saturday, 2020-08-01","Stream flow at 99.8 cfs. Wadable conditions. Temperature was 32.6 deg C. Recorded by OPH.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Tuesday, 2018-08-07","flow was 0.2 gpm. Wadable conditions. Temperature was 25.2 deg C. Recorded by TYJ.","Flow was scaled by constant factor of 0.3 to account for science"
"Date Assessed Tuesday, 2021-06-22","Stream flow at 142.1 MGD.  Temperature was 27.4 deg C. Recorded by DKA.","Flow was scaled by constant factor of 0.5 to account for science"
"Date Assessed Sunday, 2017-01-08","flow was 177.9 MGD.  Temperature was 23.8 deg C. Recorded by PXD.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Saturday, 2016-11-12","Streamflow is 157.3 MGD.  Temperature was 32.1 deg C. Recorded by KYL.","Flow was scaled by constant factor of 0.8 to account for science"
"Date Assessed Tuesday, 2019-01-15","Streamflow is 0.2 gpm.  Temperature was 31.8 deg C. Recorded by AED.","Flow was scaled by constant factor of 0 to account for science"
"Date Assessed Monday, 2017-12-11","flow was 0.2 gpm. Wadable conditions. Temperature was 27 deg C. Recorded by KJG.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Monday, 2017-05-22","flow was 93 cfs.  Temperature was 28.7 deg C. Recorded by LKX.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Friday, 2021-02-05","Stream flow at 106.4 cfs. Ambient Air Temperature was 28 deg C. Temperature was 25.8 deg C. Recorded by GEP.","Flow was scaled by constant factor of 0.9 to account for science"
"Date Assessed Saturday, 2016-04-30","Streamflow is 144.4 MGD.  Temperature was 29.8 deg C. Recorded by CVU.","Flow was scaled by constant factor of 0.6 to account for science"
"Date Assessed Sunday, 2020-06-14","flow was 97.7 cfs.  Temperature was 25.8 deg C. Recorded by LNQ.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2018-06-15","Stream flow at 0.2 gpm.  Temperature was 28.7 deg C. Recorded by RFX.","Flow was scaled by constant factor of 0.7 to account for science"
"Date Assessed Friday, 2020-04-24","Streamflow is 159.9 MGD. Ambient Air Temperature was 28 deg C. Temperature was 30.4 deg C. Recorded by ADP.","Flow was scaled by constant factor of 0.4 to account for science"
"Date Assessed Wednesday, 2020-05-27","Stream flow at 154 MGD. Ambient Air Temperature was 28 deg C. Temperature was 32.6 deg C. Recorded by OCW.","Flow was scaled by constant factor of 0.1 to account for science"
"Date Assessed Wednesday, 2020-05-06","Streamflow is 100.9 cfs. Ambient Air Temperature was 28 deg C. Temperature was 28.7 deg C. Recorded by RPW.","Flow was scaled by constant factor of 0.5 to account for science"
