"SiteID","Latitude","Longitude","OBJECTID_1","TMDL_EQ_ID","PROJECT","WSHD_ID","INSERTED_BY","INSERTED_DATE","CHANGED_BY","CHANGED_DATE","OBJECTID","PJ_ID","PJ_NAME","WSHD_NAME","PJ_RPT_EPA_APPRVD_DT","PJ_RPT_FINAL_APPRVD_LINK","PJ_RPT_SWCB_APPRVD_DT","PROJECT_STATUS","POL_NAME","IMP_NAME","REGION","Shape_Length","Shape_Area"
"Site 1",37.48516,-79.166643,291,"1739",11203,"99809","KPC74529",1510146896000,"KPC74529",1510146935000,68207,"11203","James River - Lynchburg","Harris Creek",1506470400000,"https://www.deq.virginia.gov/home/showdocument?id=11593&t=637692209170470000",1500422400000,"Approved","E. Coli","Escherichia coli","WCRO",73411.2669676002,198890498.893564
"Site 2",37.489919,-79.228329,224,"1839",11203,"99800","KPC74529",1525965453000,"KPC74529",1525965453000,68238,"11203","James River - Lynchburg","James River - Lower",1506470400000,"https://www.deq.virginia.gov/home/showdocument?id=11593&t=637692209170470000",1500422400000,"Approved","E. Coli","Escherichia coli","WCRO",133543.464075479,215899733.011483
"Site 3",37.048334,-79.886112,648,"2739",107,"100180",,,,,69441,"0107","Roanoke (Staunton) River Watershed","Smith Mountain Lake (Nest)",1270771200000,"https://www.deq.virginia.gov/home/showdocument?id=11365&t=637692144926300000",1291852800000,"Approved","PCB","Polychlorinated biphenyls","WCRO",290522.390367473,2056545863.50132
"Site 3",37.048334,-79.886112,1044,"POL0130",73,"00124",,,,,67407,"0073","Lower Blackwater River Watershed, Bacteria","Lower Blackwater River and Tributaries",988329600000,"https://www.deq.virginia.gov/home/showdocument?id=11355&t=637692144854570000",1087430400000,"Approved","Fecal Coliform","Escherichia coli","WCRO",165617.698061162,767967694.375053
"Site 3",37.048334,-79.886112,1046,"POL0132",75,"00126",,,,,67409,"0075","Middle Blackwater River Watershed","Middle Blackwater River, Little Creek, and Teels Creek",1007078400000,"https://www.deq.virginia.gov/home/showdocument?id=11359&t=637692144882870000",1087430400000,"Approved","Fecal Coliform","Total Fecal Coliform","WCRO",137570.785081023,481017911.005325
"Site 4",37.377499,-79.558333,64,"982",10663,"98943",,,,,67731,"10663","Little Otter River, Johns Creek, Wells Creek, and Buffalo Creek","Little Otter River, Upper",1422921600000,"https://www.deq.virginia.gov/home/showdocument?id=11353&t=637692144844100000",1.418256e+12,"Approved","Sediment","Benthic-Macroinvertebrate Bioassessments (Streams)","WCRO",58236.7430999181,95221147.3419692
"Site 4",37.377499,-79.558333,189,"1379",10663,"98943","kpc74529",1442328939000,"kpc74529",1442328989000,68100,"10663","Little Otter River, Johns Creek, Wells Creek, and Buffalo Creek","Little Otter River, Lower",1422921600000,"https://www.deq.virginia.gov/home/showdocument?id=11353&t=637692144844100000",1.418256e+12,"Approved","Total Phosphorus","Benthic-Macroinvertebrate Bioassessments (Streams)","WCRO",55614.7832149069,112319366.698658
"Site 4",37.377499,-79.558333,279,"POL0125",70,"00119",,,"AFE77272",1511800783000,68189,"0070","Big Otter River Watershed","Little Otter River",9.81072e+11,"https://www.deq.virginia.gov/home/showdocument?id=11329&t=637692137831630000",1087430400000,"Approved","Fecal Coliform","Total Fecal Coliform","WCRO",82890.693124063,169039433.551334
"Site 4",37.377499,-79.558333,1051,"POL0713",107,"30003",,,,,67414,"0107","Roanoke (Staunton) River Watershed","Little Otter River",1270771200000,"https://www.deq.virginia.gov/home/showdocument?id=11365&t=637692144926300000",1291852800000,"Approved","PCB","Polychlorinated biphenyls","WCRO",93939.8200921111,283570821.085989
"Site 5",37.211113,-79.299446,292,"POL0122",70,"00116","AFE77272",1511801142000,"AFE77272",1511801142000,68209,"0070","Big Otter River Watershed","Big Otter River",9.81072e+11,"https://www.deq.virginia.gov/home/showdocument?id=11329&t=637692137831630000",1087430400000,"Approved","Fecal Coliform","Total Fecal Coliform","WCRO",89010.4295278137,176720259.044339
"Site 5",37.211113,-79.299446,297,"POL0708",107,"00287","AFE77272",1511806070000,"AFE77272",1511806464000,68211,"0107","Roanoke (Staunton) River Watershed","Staunton (Roanoke) River",1270771200000,"https://www.deq.virginia.gov/home/showdocument?id=11365&t=637692144926300000",1291852800000,"Approved","PCB","Polychlorinated biphenyls","WCRO",566912.114045238,1536973977.61175
"Site 6",37.146388,-79.619167,277,"POL0906",107,"31006",,,"AFE77272",1511806896000,68187,"0107","Roanoke (Staunton) River Watershed","Goose Creek",1270771200000,"https://www.deq.virginia.gov/home/showdocument?id=11365&t=637692144926300000",1291852800000,"Approved","PCB","Polychlorinated biphenyls","WCRO",247084.575491257,987891894.08059
"Site 6",37.146388,-79.619167,316,"POL0302",108,"00288",,,"afe77272",1447852559000,68041,"0108","Staunton (Roanoke) River Watershed","Staunton (Roanoke) River",1150934400000,"https://www.deq.virginia.gov/home/showdocument?id=11373&t=637692144974730000",1182902400000,"Approved","E. Coli","Escherichia coli","WCRO",951317.243955538,6108810447.55938
"Site 7",37.363862,-79.955802,330,"POL0057",32,"00056",,,,,68061,"0032","Tinker Creek Watershed","Carvin Creek",1.091664e+12,"https://www.deq.virginia.gov/home/showdocument?id=11375&t=637692144985200000",1101945600000,"Approved","E. Coli","Escherichia coli","WCRO",59709.3227226849,118552240.837917
"Site 7",37.363862,-79.955802,618,"POL0262",1085,"00293",,,,,67891,"1085","Upper Roanoke River Watershed","Roanoke River",1147219200000,"https://www.deq.virginia.gov/home/showdocument?id=11381&t=637692145019900000",1157587200000,"Approved","Sediment","Benthic-Macroinvertebrate Bioassessments (Streams)","WCRO",334576.731554764,2060555665.25766
"Site 7",37.363862,-79.955802,822,"POL0712",107,"30002",,,,,67477,"0107","Roanoke (Staunton) River Watershed","Tinker Creek",1270771200000,"https://www.deq.virginia.gov/home/showdocument?id=11365&t=637692144926300000",1291852800000,"Approved","PCB","Polychlorinated biphenyls","WCRO",116781.005594445,459264196.396398
"Site 8",37.365318,-79.956827,330,"POL0057",32,"00056",,,,,68061,"0032","Tinker Creek Watershed","Carvin Creek",1.091664e+12,"https://www.deq.virginia.gov/home/showdocument?id=11375&t=637692144985200000",1101945600000,"Approved","E. Coli","Escherichia coli","WCRO",59709.3227226849,118552240.837917
"Site 8",37.365318,-79.956827,618,"POL0262",1085,"00293",,,,,67891,"1085","Upper Roanoke River Watershed","Roanoke River",1147219200000,"https://www.deq.virginia.gov/home/showdocument?id=11381&t=637692145019900000",1157587200000,"Approved","Sediment","Benthic-Macroinvertebrate Bioassessments (Streams)","WCRO",334576.731554764,2060555665.25766
